alpha,entry_latency_ms,exit_horizon_ms,total_pnl,selected,observed,fills,pnl_per_selected,pnl_per_observed,pnl_per_fill,hit_rate,max_drawdown
baseline_continuation,25,2000,-12.495750000000001,764,175,150,-0.01635569371727749,-0.07140428571428573,-0.083305,0.22,12.506300000000001
baseline_continuation,25,3000,-19.774199999999993,764,170,145,-0.025882460732984284,-0.11631882352941172,-0.13637379310344824,0.25517241379310346,20.250449999999994
baseline_continuation,25,4000,-17.01105,764,168,143,-0.0222657722513089,-0.10125625,-0.11895839160839161,0.2727272727272727,17.381400000000003
baseline_continuation,25,5000,-15.154199999999992,764,163,138,-0.019835340314136116,-0.09297055214723922,-0.10981304347826082,0.2753623188405797,15.630449999999994
baseline_continuation,25,7500,-4.8001499999999995,764,153,128,-0.006282918848167539,-0.0313735294117647,-0.037501171874999996,0.3828125,10.486799999999997
baseline_continuation,25,10000,-9.329099999999997,764,149,124,-0.012210863874345546,-0.06261140939597314,-0.07523467741935481,0.3951612903225806,10.982249999999997
baseline_continuation,50,500,-20.4135,764,178,140,-0.026719240837696334,-0.11468258426966292,-0.14581071428571427,0.1,20.4135
baseline_continuation,50,750,-20.519935999999994,764,178,140,-0.02685855497382198,-0.11528053932584266,-0.1465709714285714,0.12142857142857143,20.519935999999994
baseline_continuation,50,1000,-19.161585999999996,764,178,140,-0.025080609947643974,-0.10764935955056178,-0.1368684714285714,0.12857142857142856,19.161585999999996
baseline_continuation,50,1500,-14.938949999999998,764,178,140,-0.01955359947643979,-0.08392668539325841,-0.1067067857142857,0.19285714285714287,14.938949999999998
baseline_continuation,50,2000,-12.534000000000002,764,177,139,-0.01640575916230367,-0.07081355932203391,-0.09017266187050361,0.19424460431654678,12.534000000000002
baseline_continuation,50,3000,-19.12184999999999,764,173,135,-0.02502859947643978,-0.11053092485549128,-0.14164333333333326,0.22962962962962963,19.313249999999993
baseline_continuation,50,4000,-16.448150000000002,764,171,133,-0.02152899214659686,-0.09618801169590645,-0.12367030075187971,0.2631578947368421,16.586600000000004
baseline_continuation,50,5000,-15.28224999999999,764,166,128,-0.020002945026178,-0.09206174698795175,-0.11939257812499993,0.2578125,15.473649999999992
